NOC_CODE,OASIS_LABEL,TEER,Weight
9421,Other wood products inspectors,4,0.8
9421,Plastic products assemblers and finishers,4,0.8
9421,Plastic products inspectors,4,0.8
9421,Product assemblers and finishers,4,0.8
9421,Product inspectors,4,0.8
9510,Fabric cutters,5,0.95
9510,Fur cutters,5,0.95
9510,Labourers in chemical products processing and utilities,5,0.95
9510,Labourers in fish and seafood processing,5,0.95
9510,Labourers in food and beverage processing,5,0.95
9510,Labourers in metal fabrication,5,0.95
9510,Labourers in mineral and metal processing,5,0.95
9510,Labourers in rubber and plastic products manufacturing,5,0.95
9510,Labourers in textile processing,5,0.95
9510,"Labourers in wood, pulp and paper processing",5,0.95
9510,Leather cutters,5,0.95
9510,"Other labourers in processing, manufacturing and utilities",5,0.95
