NOC_CODE,OASIS_LABEL,TEER,Weight
7420,Railway track maintenance workers,4,0.8
7420,Railway yard  workers,4,0.8
7420,Waterworks maintenance workers,4,0.8
7510,Longshore workers,5,0.95
7510,Material handlers (equipment operators),5,0.95
7510,Material handlers (manual),5,0.95
7511,Construction trades helpers and labourers,5,0.95
7511,Other trades helpers and labourers,5,0.95
7520,Chauffeurs,5,0.95
7520,Delivery service drivers and door-to-door distributors,5,0.95
7520,Taxi and limousine drivers,5,0.95
7521,Boat operators,5,0.95
7521,Cable ferry operators,5,0.95
7521,Ferry terminal workers,5,0.95
7521,Lock equipment operators,5,0.95
7521,Motor transport labourers,5,0.95
7521,Public works and maintenance labourers,5,0.95
7521,Railway labourers,5,0.95
8001,Managers in natural resources production and fishing,0,0.2
8002,Managers in agriculture,0,0.2
8002,Managers in aquaculture,0,0.2
8002,Managers in horticulture,0,0.2
8201,"Supervisors, logging and forestry",2,0.4
8202,"Contractors and supervisors, oil and gas drilling and services",2,0.4
8202,"Supervisors, mining and quarrying",2,0.4
8203,Agricultural service contractors,2,0.4
8203,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",2,0.4
8203,Farm supervisors,2,0.4
8310,Oil and gas well drillers and well servicers,3,0.6
8310,"Oil and gas well loggers, testers and related workers",3,0.6
8310,Underground production and development miners,3,0.6
8311,Logging machinery operators,3,0.6
8312,Fishermen/women,3,0.6
8312,Fishing masters and officers,3,0.6
8410,Oil and gas well drilling workers,4,0.8
8410,Oil and gas well service operators,4,0.8
8410,Underground mine service and support workers,4,0.8
8411,Chain saw and skidder operators,4,0.8
8411,Silviculture and forestry workers,4,0.8
8412,Fishing vessel deckhands,4,0.8
8412,Specialized livestock workers,4,0.8
8412,farm machinery operators,4,0.8
8510,Aquaculture and marine harvest labourers,5,0.95
8510,Harvesting labourers,5,0.95
8510,Livestock labourers,5,0.95
8510,Nursery and greenhouse labourers,5,0.95
8510,Trappers and hunters,5,0.95
8511,Mine labourers,5,0.95
8511,"Oil and gas drilling, servicing and related labourers",5,0.95
8512,Landscaping and grounds maintenance labourers,5,0.95
8512,Logging and forestry labourers,5,0.95
9001,Electrical power distribution managers,0,0.2
